ID,NAME,Stream URL,Logo URL,Quality
dave,Dave,https://wowza5.leisertv.com/live/davehd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/dave.png?raw=true,HD
gold,Gold,https://wowza5.leisertv.com/live/goldhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/gold.png?raw=true,HD
comedycentral,Comedy Central,https://wowza5.leisertv.com/live/comedycentralhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/comedycentral.png?raw=true,HD
skycomedy,Sky Comedy,https://wowza5.leisertv.com/live/skycomedyhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/skycomedy.png?raw=true,HD
tv3plus,TV3 Plus,https://wowza1.leisertv.com/live/tv3plushd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/tv3plus.png?raw=true,HD
vipcomedy,VIP Comedy,https://wowza5.leisertv.com/live/vipcomedyhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/vipcomedy.png?raw=true,HD
duo7,Duo 7,https://wowza1.leisertv.com/live/duo7hd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/duo7.png?raw=true,HD
1plus2,1+2,https://wowza1.leisertv.com/live/1plus2.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/1plus2.png?raw=true,
kanalju,Kanal Ju,https://wowza1.leisertv.com/live/kanalju.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/kanalju.png?raw=true,
24kanal,24 Kanal,https://wowza1.leisertv.com/live/24kanal.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/24kanal.png?raw=true,
tbnbaltija,TBN Baltija,https://wowza2.leisertv.com/live/tbnbaltijahd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/tbnbaltija.png?raw=true,HD
tvxxi,TV XXI,https://wowza1.leisertv.com/live/tvxxi.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/tvxxi.png?raw=true,
tbn,TBN,https://wowza5.leisertv.com/live/tbn.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/tbn.png?raw=true,
tnt,TNT,https://wowza1.leisertv.com/live/tnt.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/tnt.png?raw=true,
retrotv,Retro TV,https://wowza1.leisertv.com/live/retrotv.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/retrotv.png?raw=true,
okhotairybalka,Okhota i Rybalka,https://wowza2.leisertv.com/live/okhotairybalka.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/okhotairybalka.png?raw=true,
ktoyestkto,Kto Est Kto,https://wowza1.leisertv.com/live/ktoyestkto.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/ktoyestkto.png?raw=true,
shansontv,Shanson TV,https://wowza1.leisertv.com/live/shansontv.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/shansontv.png?raw=true,
orsenttv,Orsent TV,https://wowza1.leisertv.com/live/orsenttv.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/orsenttv.png?raw=true,
voprosyiotvety,Voprosy i Otvety,https://wowza1.leisertv.com/live/voprosyiotvety.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/voprosyiotvety.png?raw=true,
privatetv,Private TV,https://wowza2.leisertv.com/live/privatetv.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/privatetv.png?raw=true,
brazzerstv,Brazzers TV,https://wowza2.leisertv.com/live/brazzerstv.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/brazzerstv.png?raw=true,
hustlertv,Hustler TV,https://wowza2.leisertv.com/live/hustlertv.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/hustlertv.png?raw=true,
vividred,Vivid Red,https://wowza1.leisertv.com/live/vividredhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/vividred.png?raw=true,HD
dorceltv,Dorcel TV,https://wowza2.leisertv.com/live/dorceltvhd.stream/playlist.m3u8,https://github.com/Teguva/logos/blob/main/dorceltv.png?raw=true,HD
1tv,First Channel,https://tv.cdn.xsg.ge/gpb-1tv/index.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Pirveli_Arkhi_Logo_2022.svg/512px-Pirveli_Arkhi_Logo_2022.svg.png?raw=true,HD
2tv,First Channel Sport,https://tv.cdn.xsg.ge/gpb-2tv/index.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Pirveli_Arkhi_Logo_2022.svg/512px-Pirveli_Arkhi_Logo_2022.svg.png?raw=true,HD
rustavi2,Rustavi 2,https://sktv-forwarders.7m.pl/get.php?x=Rustavi2,https://upload.wikimedia.org/wikipedia/commons/f/f8/Rustavi_2_logo.png?raw=true,HD
formula,Formula,https://c4635.cdn.xsg.ge/c4635/TVFormula/index.m3u8,https://formulanews.ge/images/logo.png?raw=true,HD
